combatEfficiency,damagePerSecond,damageIntakeRate,comboRate,dodgeRate,reactionScore,combatPerformanceIndex,sessionDuration,playerAccuracy,victory,feedback
4.333333333,0.392393601,0.060368246,10.86628433,18.11047389,1.811249344,0.589921036,33.13,1.0,True,TooEasy
0.636363636,0.172711572,0.246730817,1.4803849,0.0,1000.0,0.186958828,40.53,0.5384616,False,TooHard
0.909090909,0.264480296,0.264480296,1.586881777,0.0,1000.0,0.219986318,37.81,0.625,False,Balanced
6.5,0.450606586,0.034662045,22.87694974,0.0,1000.0,0.559642548,28.85,0.8125,True,TooEasy
13.0,0.543251149,0.0,27.58044296,32.59506895,3.817964055,0.97857142,23.93,0.9285714,True,TooEasy
4.333333333,0.529747351,0.081499593,22.00488998,0.0,1000.0,0.559568793,24.54,1.0,True,TooEasy
0.818181818,0.323508267,0.35945363,2.156721783,2.156721783,1.424411942,0.240611173,27.82,0.6428571,False,Balanced
1.444444444,0.322981366,0.198757764,1.49068323,0.0,1000.0,0.221415775,40.25,0.5909091,True,Balanced
2.166666667,0.247713415,0.09527439,4.573170732,12.57621951,2.269154386,0.37699547,52.48,0.7222222,True,Balanced
2.6,0.269989616,0.083073728,1.246105919,17.44548287,3.100257042,0.39274651,48.15,0.7222222,True,Balanced
4.333333333,0.312349832,0.04805382,5.766458433,20.18260452,2.672212041,0.544225372,41.62,0.9285714,True,TooEasy
2.166666667,0.267599835,0.102923014,6.175380815,20.99629477,2.612357496,0.483611989,48.58,0.8666667,True,TooEasy
1.625,0.266175266,0.143325143,6.142506143,13.51351351,2.641504749,0.394371779,48.84,0.7647059,True,Balanced
1.857142857,0.280051702,0.129254632,2.585092632,20.68074106,3.470533952,0.393761037,46.42,0.6842105,True,Balanced
4.333333333,0.316686967,0.048721072,8.769792935,14.61632156,4.763367796,0.513278546,41.05,0.8666667,True,TooEasy
4.333333333,0.346112886,0.053248136,9.584664537,15.97444089,2.754987147,0.511270871,37.56,0.8125,True,TooEasy
2.6,0.257527734,0.079239303,5.942947702,15.45166403,3.350366597,0.427316971,50.48,0.7647059,True,Balanced
1.0,0.302946847,0.275406224,6.60974938,9.914624071,2.137865837,0.406842747,36.31,0.9166667,False,Balanced
6.5,0.361111111,0.027777778,11.66666667,21.66666667,2.259992727,0.627545465,36.0,0.8666667,True,TooEasy
4.333333333,0.31026253,0.047732697,7.159904535,10.02386635,2.060200289,0.491996992,41.9,0.9285714,True,TooEasy
2.6,0.295723385,0.090991811,6.824385805,15.01364877,2.781310815,0.445359346,43.96,0.8125,True,Balanced
13.0,0.306748466,0.0,7.07881076,11.32609722,2.763945001,0.664577874,42.38,0.8125,True,TooEasy
1.090909091,0.280308339,0.233590283,2.803083392,2.803083392,10.61972014,0.287700859,42.81,0.75,False,Balanced
4.333333333,0.367647059,0.056561086,13.57466063,10.18099548,3.256900395,0.560906401,35.36,1.0,True,TooEasy
2.6,0.324675325,0.0999001,5.994005994,16.48351648,1.804934583,0.409869942,40.04,0.6842105,True,Balanced
1.444444444,0.217427663,0.133801639,4.014049172,8.028098344,3.208533158,0.39027228,59.79,0.9285714,True,Balanced
4.333333333,0.367647059,0.056561086,13.57466063,11.87782805,3.144144895,0.549889412,35.36,0.9285714,True,TooEasy
1.625,0.239852399,0.129151292,6.642066421,12.17712177,2.153808181,0.389794386,54.2,0.7647059,True,Balanced
0.909090909,0.27027027,0.27027027,3.243243243,4.864864865,1.418153471,0.28863347,37.0,0.7142857,False,Balanced
1.090909091,0.332133961,0.276778301,3.321339607,3.321339607,5.349315662,0.241067549,36.13,0.5714286,False,TooHard
0.818181818,0.244764754,0.271960838,1.631765026,0.0,1000.0,0.180713888,36.77,0.5,False,TooHard
0.727272727,0.166458593,0.208073242,0.0,1.248439451,2.17431151,0.195872093,48.06,0.5714286,False,TooHard
0.727272727,0.238450075,0.298062593,3.576751118,3.576751118,0.927276487,0.23609524,33.55,0.5714286,False,TooHard
0.909090909,0.247035573,0.247035573,0.0,1.482213439,2.269052954,0.230073741,40.48,0.6666667,False,Balanced
0.727272727,0.228636753,0.285795942,0.0,0.0,1000.0,0.188211797,34.99,0.5714286,False,TooHard
1.0,0.316637881,0.287852619,3.454231434,3.454231434,2.109740694,0.206820134,34.74,0.4583333,False,Balanced
1.3,0.433188937,0.299900033,1.999333555,5.998000666,4.518622146,0.359872734,30.01,0.9285714,True,Balanced
1.444444444,0.371322479,0.228506141,5.141388175,1.713796058,1.204849035,0.286395014,35.01,0.6842105,True,Balanced
1.090909091,0.316957211,0.264131009,1.584786054,0.0,1000.0,0.208095505,37.86,0.5714286,False,Balanced
0.545454545,0.189334175,0.315556958,0.0,0.0,1000.0,0.151048963,31.69,0.4615385,False,TooHard
0.545454545,0.233372229,0.388953715,0.0,0.0,1000.0,0.212587423,25.71,0.6666667,False,TooHard
1.090909091,0.282618935,0.23551578,4.239284032,9.891662741,2.13608712,0.288038866,42.46,0.5714286,False,TooHard
0.636363636,0.219092332,0.312989045,0.0,0.0,1000.0,0.205594395,31.95,0.6363636,False,TooHard
1.625,0.246726134,0.132852534,3.416208009,9.109888024,1.574248072,0.347581793,52.69,0.7647059,True,Balanced
0.727272727,0.242792109,0.303490137,1.820940819,1.820940819,1.533022375,0.225776283,32.95,0.6153846,False,TooHard
1.444444444,0.038654813,0.023787577,0.713627308,0.713627308,0.930069904,0.237886957,336.31,0.65,True,Balanced
1.444444444,0.390156062,0.240096038,7.202881152,0.0,1000.0,0.314976905,33.32,0.7647059,True,Balanced
1.625,0.390039004,0.210021002,3.600360036,5.400540054,1.399578167,0.313411885,33.33,0.7222222,True,Balanced
0.818181818,0.342465753,0.380517504,4.566210046,0.0,1000.0,0.2974476,26.28,0.8181818,False,TooHard
1.444444444,0.464617584,0.285918513,6.433166548,2.144388849,1.200963172,0.322553058,27.98,0.7647059,True,Balanced
4.333333333,0.352112676,0.054171181,13.00108342,14.62621885,3.412359018,0.562593952,36.92,0.9285714,True,TooEasy
6.5,0.347314988,0.026716538,14.42693027,11.22094577,3.773601994,0.623467676,37.43,1.0,True,TooEasy
6.5,0.376266281,0.02894356,13.89290883,10.41968162,2.756176246,0.593250157,34.55,0.9285714,True,TooEasy
6.5,0.345285525,0.026560425,11.15537849,9.561752988,3.622667319,0.533313332,37.65,0.8125,True,TooEasy
6.5,0.365887982,0.028145229,11.82099634,5.066141289,4.585115797,0.510555457,35.53,0.8125,True,TooEasy
6.5,0.306820864,0.023601605,11.32877036,11.32877036,3.60032763,0.545412923,42.37,0.8125,True,TooEasy
4.333333333,0.33180194,0.051046452,7.656967841,6.125574273,3.169736874,0.471681934,39.18,0.9285714,True,TooEasy
4.333333333,0.375288684,0.057736721,13.85681293,3.464203233,1.750916692,0.481738895,34.64,0.8666667,True,TooEasy
13.0,0.350971922,0.0,11.33909287,9.719222462,1.358028078,0.701861766,37.04,0.8666667,True,TooEasy
4.333333333,0.347872625,0.053518865,14.45009366,8.02782981,3.521937798,0.514043023,37.37,0.8666667,True,TooEasy
0.636363636,0.231634679,0.330906684,3.970880212,0.0,1000.0,0.276813553,30.22,0.7777778,False,TooHard
0.909090909,0.280112045,0.280112045,3.361344538,0.0,1000.0,0.259639572,35.7,0.7142857,False,Balanced
0.363636364,0.132450331,0.331125828,0.0,0.0,1000.0,0.248391608,30.2,0.8,False,TooHard
0.363636364,0.148920328,0.372300819,0.0,6.701414743,1.867253582,0.289510802,26.86,0.8,False,TooHard
0.545454545,0.183374083,0.305623472,0.0,0.0,1000.0,0.212587423,32.72,0.6666667,False,TooHard
0.545454545,0.23557126,0.392618767,0.0,2.355712603,1.430978334,0.284184694,25.47,0.8571429,False,TooHard
0.545454545,0.099800399,0.166333999,0.998003992,0.998003992,1.673307746,0.325948104,60.12,1.0,False,TooHard
0.636363636,0.225442834,0.322061192,1.93236715,0.0,1000.0,0.262031244,31.05,0.7777778,False,TooHard
0.727272727,0.273878809,0.342348511,4.108182129,0.0,1000.0,0.313240432,29.21,0.8888889,False,TooHard
0.363636364,0.132538105,0.331345262,0.0,0.0,1000.0,0.248391608,30.18,0.8,False,TooHard
1.625,0.387828162,0.208830549,7.159904535,12.52983294,2.011532114,0.410051926,33.52,0.8125,True,Balanced
1.444444444,0.444900753,0.273785079,6.160164271,12.32032854,2.52579723,0.41360014,29.22,0.8666667,True,Balanced
1.444444444,0.419354839,0.258064516,11.61290323,9.677419355,1.692363801,0.4063359,31.0,0.7647059,True,Balanced
1.625,0.449982693,0.242298373,12.46105919,6.230529595,1.587730022,0.42609146,28.89,0.8666667,True,Balanced
1.857142857,0.434491979,0.200534759,10.02673797,12.03208556,2.905904769,0.449393838,29.92,0.8666667,True,Balanced
1.444444444,0.594693504,0.365965233,13.72369625,16.4684355,2.106485363,0.512470976,21.86,0.9285714,True,Balanced
1.3,0.484351714,0.335320417,4.470938897,17.88375559,2.264603009,0.401565741,26.84,0.7647059,True,Balanced
1.625,0.567933595,0.305810398,13.1061599,23.59108781,2.36248227,0.555863432,22.89,0.9285714,True,Balanced
1.625,0.619933238,0.333810205,14.30615165,14.30615165,2.323284585,0.507593775,20.97,0.9285714,True,Balanced
1.0,0.404411765,0.367647059,6.617647059,8.823529412,2.629429735,0.379051332,27.2,0.8461539,False,Balanced
